Zaman(s)  	Ucus_Modu      	Gercek_X  	Gercek_Z  	Filtreli_Z  	Roll_PWM  	Pitch_PWM 	Throt_PWM 	Voltaj(V) 
-------------------------------------------------------------------------------------------------------------------
1.00      	KALKIS         	0.001     	0.468     	0.417       	1494.7    	1502.1    	1355.2    	21.88     
2.01      	KALKIS         	0.002     	0.925     	0.894       	1496.7    	1505.6    	1359.8    	21.88     
3.01      	KALKIS         	0.002     	1.232     	1.210       	1501.2    	1508.0    	1361.2    	21.87     
4.02      	KALKIS         	0.002     	1.424     	1.413       	1499.6    	1500.7    	1367.0    	21.86     
5.02      	ILERI_UÇUŞ     	0.094     	1.536     	1.531       	1501.7    	1482.7    	1358.9    	21.88     
6.03      	ILERI_UÇUŞ     	0.484     	1.593     	1.586       	1500.5    	1491.8    	1365.1    	21.87     
7.04      	ILERI_UÇUŞ     	1.035     	1.611     	1.610       	1502.8    	1500.8    	1365.8    	21.87     
8.04      	ILERI_UÇUŞ     	1.616     	1.609     	1.610       	1496.8    	1497.4    	1367.6    	21.86     
9.04      	ILERI_UÇUŞ     	2.129     	1.594     	1.592       	1502.3    	1512.2    	1366.8    	21.86     
10.05     	ILERI_UÇUŞ     	2.511     	1.574     	1.579       	1499.8    	1505.8    	1369.2    	21.86     
11.05     	ILERI_UÇUŞ     	2.742     	1.554     	1.555       	1494.5    	1512.0    	1365.9    	21.87     
12.06     	ILERI_UÇUŞ     	2.832     	1.536     	1.541       	1504.5    	1503.5    	1366.7    	21.86     
13.06     	ILERI_UÇUŞ     	2.805     	1.521     	1.522       	1502.5    	1499.1    	1368.4    	21.86     
14.07     	ILERI_UÇUŞ     	2.702     	1.508     	1.510       	1499.2    	1504.1    	1362.5    	21.87     
15.07     	ILERI_UÇUŞ     	2.552     	1.501     	1.503       	1499.2    	1500.2    	1368.8    	21.86     
16.08     	ILERI_UÇUŞ     	2.386     	1.498     	1.498       	1504.1    	1495.1    	1370.1    	21.86     
17.09     	ILERI_UÇUŞ     	2.236     	1.496     	1.495       	1496.0    	1508.0    	1373.3    	21.85     
18.09     	INIŞ_ALGORITMASI	2.116     	1.466     	1.479       	1499.2    	1500.3    	1331.4    	21.93     
19.09     	INIŞ_ALGORITMASI	2.027     	0.965     	1.021       	1502.4    	1494.5    	1358.4    	21.88     
20.10     	INIŞ_ALGORITMASI	1.974     	0.194     	0.272       	1497.2    	1496.5    	1322.3    	21.94     
